"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","KIWIFRUIT, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","KIWIFRUIT, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","KIWIFRUIT, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","1,300","","","","","","","","36",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","100","","0.393","","0.469","","1.2","","6",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","4,200","","2.003","","7.96","","4","","13",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)","10,100","","3.783","","7.187","","1.9","","36",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","3,500","","1.382","","2.425","","1.8","","37",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","300","","1.01","","1.978","","2","","4",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","18,300","","","","","","","","53",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CRYOLITE = 75101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)","100","","0.103","","0.121","","1.2","","17",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","1,500","","","","","","","","24",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (CYANAMID = 14002)","80,500","","17.165","","47.061","","2.7","","44",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (FORCHLORFENURON = 128819)","1,400","","0.356","","0.829","","2.3","","45",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (STRYCHNINE = 76901)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","93,100","","","","","","","","53",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","1,300","","","","","","","","36",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","100","","0.393","","0.469","","1.2","","6",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","4,200","","2.003","","7.96","","4","","13",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)","10,100","","3.783","","7.187","","1.9","","36",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","3,500","","1.382","","2.425","","1.8","","37",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","300","","1.01","","1.978","","2","","4",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","18,300","","","","","","","","53",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CRYOLITE = 75101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)","100","","0.103","","0.121","","1.2","","17",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","1,500","","","","","","","","24",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (CYANAMID = 14002)","80,500","","17.165","","47.061","","2.7","","44",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (FORCHLORFENURON = 128819)","1,400","","0.356","","0.829","","2.3","","45",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (STRYCHNINE = 76901)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","93,100","","","","","","","","53",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","20,100","","","","","","","","43",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","500","","0.701","","1.111","","1.6","","9",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ISOXABEN = 125851)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)","900","","2.913","","3.326","","1.1","","6",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","200","","1.457","","1.458","","1","","3",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","1,800","","3.106","","7.989","","2.6","","5",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","4,900","","","","","","","","37",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CRYOLITE = 75101)","28,300","","6.844","","15.293","","2.2","","42",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MYROTHECIUM VERRUC. = 119204)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)"," (Z)","","0.108","","0.146","","1.3","","5",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","28,400","","","","","","","","56",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (CYANAMID = 14002)","43,200","","17.487","","22.657","","1.3","","43",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (E-8-DODECENYL ACETAT = 128907)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (FORCHLORFENURON = 128819)","1,200","","0.407","","0.504","","1.2","","56",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","KIWIFRUIT","CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
