county,carpenter,bumble,honey,small,wasps,flies,butterflies,other,insects,num_participants
Appling,127.0,230.0,162.0,296.0,251.0,317.0,362.0,453.0,2198.0,93.0
Bacon,0.0,0.0,1.0,0.0,7.0,0.0,47.0,7.0,62.0,2.0
Baker,1.0,1.0,1.0,12.0,4.0,12.0,158.0,7.0,196.0,5.0
Baldwin,3.0,56.0,1.0,22.0,52.0,74.0,91.0,23.0,322.0,16.0
Banks,0.0,7.0,0.0,3.0,0.0,0.0,19.0,0.0,29.0,4.0
Barrow,52.0,50.0,32.0,97.0,67.0,104.0,176.0,163.0,741.0,25.0
Bartow,27.0,165.0,28.0,177.0,100.0,107.0,222.0,66.0,892.0,24.0
Berrien,1.0,57.0,63.0,139.0,231.0,69.0,73.0,111.0,744.0,17.0
Bibb,80.0,591.0,149.0,454.0,218.0,327.0,767.0,420.0,3006.0,98.0
Bleckley,1.0,6.0,23.0,12.0,7.0,7.0,11.0,5.0,72.0,2.0
Brooks,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0
Bryan,64.0,10.0,17.0,19.0,69.0,20.0,132.0,19.0,350.0,6.0
Bulloch,12.0,21.0,11.0,51.0,47.0,58.0,127.0,57.0,384.0,15.0
Burke,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,11.0,2.0
Butts,3.0,8.0,0.0,4.0,22.0,6.0,40.0,7.0,90.0,7.0
Calhoun,10.0,92.0,20.0,90.0,33.0,37.0,40.0,114.0,436.0,6.0
Camden,12.0,42.0,52.0,54.0,52.0,66.0,78.0,39.0,395.0,17.0
Candler,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,21.0,1.0
Carroll,231.0,251.0,142.0,447.0,147.0,471.0,2453.0,842.0,4984.0,167.0
Catoosa,0.0,45.0,1.0,19.0,15.0,5.0,10.0,4.0,99.0,3.0
Chatham,308.0,527.0,284.0,646.0,452.0,401.0,452.0,405.0,3475.0,111.0
Chattooga,36.0,191.0,68.0,145.0,91.0,53.0,157.0,83.0,824.0,35.0
Cherokee,332.0,330.0,105.0,633.0,459.0,546.0,723.0,491.0,3619.0,156.0
Clarke,657.0,351.0,155.0,613.0,542.0,644.0,648.0,618.0,4228.0,207.0
Clayton,4.0,10.0,2.0,39.0,26.0,49.0,26.0,54.0,210.0,8.0
Cobb,865.0,442.0,263.0,795.0,291.0,490.0,1246.0,809.0,5201.0,235.0
Coffee,4.0,11.0,0.0,5.0,2.0,0.0,12.0,5.0,39.0,1.0
Colquitt,53.0,81.0,90.0,68.0,86.0,375.0,61.0,566.0,1380.0,53.0
Columbia,209.0,234.0,63.0,217.0,186.0,230.0,491.0,239.0,1869.0,69.0
Cook,1.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,11.0,1.0
Coweta,330.0,59.0,13.0,179.0,358.0,249.0,607.0,467.0,2262.0,72.0
Crawford,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,20.0,1.0
Crisp,0.0,0.0,4.0,3.0,3.0,3.0,10.0,8.0,31.0,3.0
Dade,2.0,5.0,4.0,147.0,4.0,25.0,43.0,18.0,248.0,7.0
Dawson,8.0,26.0,6.0,28.0,21.0,8.0,15.0,15.0,127.0,8.0
Decatur,26.0,16.0,1.0,7.0,18.0,40.0,18.0,44.0,170.0,7.0
DeKalb,2544.0,2566.0,2069.0,3327.0,2978.0,1472.0,3050.0,2365.0,20371.0,394.0
Dodge,0.0,1.0,0.0,0.0,5.0,8.0,3.0,3.0,20.0,1.0
Dooly,0.0,46.0,2.0,5.0,51.0,4.0,8.0,1.0,117.0,3.0
Dougherty,33.0,44.0,62.0,103.0,66.0,76.0,167.0,163.0,714.0,53.0
Douglas,132.0,95.0,17.0,137.0,111.0,81.0,577.0,166.0,1316.0,52.0
Early,0.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,11.0,1.0
Effingham,10.0,13.0,19.0,68.0,28.0,7.0,71.0,20.0,236.0,9.0
Emanuel,0.0,2.0,2.0,1.0,11.0,6.0,6.0,9.0,37.0,4.0
Evans,2.0,2.0,1.0,1.0,4.0,7.0,10.0,1.0,28.0,5.0
Fannin,23.0,210.0,67.0,377.0,306.0,214.0,275.0,251.0,1723.0,26.0
Fayette,105.0,33.0,25.0,378.0,78.0,369.0,918.0,296.0,2202.0,103.0
Floyd,48.0,87.0,47.0,136.0,106.0,149.0,225.0,303.0,1101.0,67.0
Forsyth,105.0,89.0,50.0,310.0,260.0,275.0,339.0,344.0,1772.0,98.0
Franklin,0.0,0.0,0.0,23.0,6.0,2.0,43.0,4.0,78.0,3.0
Fulton,1115.0,1680.0,1124.0,1519.0,760.0,966.0,1759.0,1376.0,10299.0,379.0
Gilmer,6.0,10.0,5.0,47.0,43.0,23.0,56.0,53.0,243.0,15.0
Glynn,99.0,23.0,14.0,77.0,70.0,91.0,61.0,145.0,580.0,17.0
Gordon,35.0,30.0,33.0,184.0,81.0,170.0,114.0,217.0,864.0,45.0
Grady,4.0,13.0,48.0,71.0,55.0,42.0,18.0,69.0,320.0,8.0
Greene,1.0,5.0,1.0,47.0,17.0,14.0,63.0,4.0,152.0,3.0
Gwinnett,1197.0,938.0,475.0,1138.0,842.0,986.0,2345.0,1594.0,9515.0,332.0
Habersham,6.0,8.0,7.0,49.0,81.0,13.0,102.0,31.0,297.0,13.0
Hall,300.0,233.0,80.0,284.0,152.0,215.0,1012.0,284.0,2560.0,103.0
Hancock,2.0,0.0,0.0,0.0,4.0,0.0,22.0,0.0,28.0,3.0
Haralson,4.0,6.0,0.0,4.0,12.0,7.0,78.0,5.0,116.0,4.0
Harris,66.0,88.0,82.0,272.0,210.0,295.0,623.0,645.0,2281.0,67.0
Hart,36.0,2.0,12.0,16.0,77.0,34.0,37.0,29.0,243.0,10.0
Heard,12.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,2.0
Henry,12.0,24.0,14.0,47.0,32.0,35.0,213.0,74.0,451.0,28.0
Houston,48.0,94.0,63.0,185.0,146.0,175.0,146.0,180.0,1037.0,51.0
Irwin,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,10.0,1.0
Jackson,85.0,62.0,5.0,146.0,303.0,178.0,307.0,69.0,1155.0,26.0
Jasper,16.0,24.0,19.0,30.0,18.0,42.0,77.0,67.0,293.0,9.0
Jeff Davis,0.0,4.0,0.0,4.0,2.0,4.0,6.0,12.0,32.0,4.0
Jenkins,5.0,8.0,21.0,33.0,23.0,18.0,25.0,37.0,170.0,10.0
Jones,1.0,12.0,1.0,166.0,68.0,49.0,241.0,101.0,639.0,6.0
Lamar,7.0,48.0,6.0,207.0,58.0,76.0,184.0,31.0,617.0,21.0
Laurens,2.0,14.0,0.0,18.0,71.0,71.0,35.0,78.0,289.0,9.0
Lee,20.0,18.0,164.0,27.0,35.0,45.0,78.0,125.0,512.0,20.0
Liberty,23.0,11.0,13.0,47.0,8.0,51.0,5.0,105.0,263.0,18.0
Lincoln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,1.0
Long,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
Lowndes,22.0,41.0,54.0,103.0,60.0,43.0,90.0,100.0,513.0,25.0
Lumpkin,177.0,348.0,115.0,194.0,146.0,266.0,477.0,438.0,2161.0,113.0
Macon,8.0,20.0,14.0,22.0,36.0,36.0,161.0,49.0,346.0,21.0
Madison,5.0,11.0,13.0,35.0,43.0,45.0,40.0,49.0,241.0,8.0
Marion,0.0,5.0,11.0,7.0,10.0,11.0,70.0,8.0,122.0,6.0
McDuffie,0.0,4.0,5.0,8.0,21.0,16.0,35.0,20.0,109.0,4.0
McIntosh,4.0,8.0,5.0,22.0,5.0,3.0,33.0,21.0,101.0,11.0
Meriwether,13.0,14.0,8.0,13.0,5.0,12.0,32.0,11.0,108.0,4.0
Mitchell,3.0,5.0,9.0,10.0,2.0,4.0,25.0,2.0,60.0,6.0
Monroe,8.0,4.0,0.0,6.0,17.0,11.0,32.0,9.0,87.0,9.0
Morgan,16.0,11.0,20.0,52.0,45.0,54.0,92.0,40.0,330.0,17.0
Muscogee,20.0,18.0,15.0,36.0,13.0,10.0,13.0,20.0,145.0,7.0
Newton,28.0,103.0,63.0,170.0,85.0,143.0,309.0,263.0,1164.0,54.0
Oconee,84.0,192.0,166.0,477.0,586.0,379.0,478.0,411.0,2773.0,98.0
Oglethorpe,10.0,87.0,195.0,229.0,152.0,169.0,304.0,247.0,1393.0,19.0
Paulding,78.0,87.0,31.0,79.0,77.0,145.0,241.0,163.0,901.0,38.0
Peach,0.0,3.0,5.0,1.0,3.0,15.0,44.0,155.0,226.0,5.0
Pickens,21.0,35.0,7.0,13.0,31.0,13.0,91.0,15.0,226.0,7.0
Pierce,0.0,0.0,3.0,1.0,7.0,6.0,0.0,20.0,37.0,2.0
Pike,19.0,30.0,8.0,28.0,5.0,55.0,59.0,72.0,276.0,13.0
Polk,0.0,14.0,0.0,5.0,2.0,2.0,0.0,1.0,24.0,2.0
Pulaski,8.0,5.0,0.0,8.0,1.0,16.0,60.0,6.0,104.0,2.0
Putnam,37.0,26.0,25.0,39.0,20.0,23.0,50.0,18.0,238.0,7.0
Rabun,8.0,83.0,70.0,79.0,31.0,27.0,144.0,135.0,577.0,34.0
Randolph,3.0,26.0,9.0,20.0,28.0,16.0,75.0,15.0,192.0,15.0
Richmond,165.0,525.0,214.0,351.0,232.0,336.0,179.0,274.0,2276.0,98.0
Rockdale,96.0,76.0,40.0,118.0,334.0,90.0,547.0,60.0,1361.0,29.0
Schley,0.0,2.0,0.0,4.0,2.0,1.0,13.0,1.0,23.0,2.0
Screven,5.0,53.0,3.0,46.0,66.0,40.0,108.0,70.0,391.0,11.0
Seminole,0.0,0.0,5.0,7.0,3.0,8.0,8.0,3.0,34.0,2.0
Spalding,22.0,24.0,4.0,260.0,176.0,140.0,133.0,86.0,845.0,30.0
Stephens,9.0,10.0,3.0,20.0,7.0,17.0,16.0,18.0,100.0,7.0
Sumter,3.0,33.0,15.0,28.0,15.0,47.0,113.0,96.0,350.0,24.0
Talbot,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0
Taliaferro,0.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,11.0,1.0
Taylor,8.0,11.0,9.0,5.0,11.0,0.0,134.0,6.0,184.0,9.0
Terrell,75.0,12.0,47.0,23.0,26.0,18.0,9.0,26.0,236.0,4.0
Thomas,18.0,114.0,58.0,292.0,260.0,338.0,521.0,444.0,2045.0,84.0
Tift,4.0,49.0,40.0,95.0,235.0,98.0,60.0,118.0,699.0,36.0
Toombs,0.0,0.0,0.0,6.0,2.0,6.0,4.0,5.0,23.0,1.0
Towns,34.0,167.0,72.0,212.0,77.0,80.0,279.0,97.0,1018.0,26.0
Troup,10.0,4.0,0.0,32.0,29.0,29.0,136.0,39.0,279.0,15.0
Twiggs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0
Union,179.0,371.0,122.0,854.0,345.0,177.0,415.0,139.0,2602.0,47.0
Upson,77.0,144.0,16.0,311.0,146.0,49.0,570.0,81.0,1394.0,49.0
Walker,0.0,4.0,1.0,83.0,12.0,16.0,44.0,19.0,179.0,11.0
Walton,186.0,171.0,43.0,436.0,501.0,262.0,486.0,313.0,2398.0,54.0
Ware,0.0,1.0,0.0,2.0,18.0,13.0,0.0,9.0,43.0,4.0
Warren,1.0,2.0,0.0,3.0,5.0,6.0,18.0,9.0,44.0,4.0
Washington,0.0,0.0,3.0,12.0,0.0,2.0,7.0,2.0,26.0,4.0
Wayne,17.0,50.0,89.0,40.0,63.0,89.0,99.0,63.0,510.0,25.0
White,5.0,20.0,18.0,58.0,40.0,14.0,27.0,27.0,209.0,10.0
Whitfield,0.0,2.0,2.0,6.0,1.0,10.0,12.0,4.0,37.0,4.0
Wilcox,9.0,2.0,0.0,11.0,12.0,10.0,25.0,31.0,100.0,7.0
Wilkes,2.0,3.0,1.0,28.0,24.0,48.0,32.0,11.0,149.0,26.0
Worth,4.0,14.0,9.0,131.0,32.0,14.0,83.0,28.0,315.0,9.0
